Specie (latin name),Functional group,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Centrophorus granulosus,Medium benthopelagics,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0024-0.0083,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024
Scymnodon ringens,Medium benthopelagics,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0024-0.0083,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024
Centroscymnus coelolepis,Medium benthopelagics,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0024-0.0083,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024
Pagellus bellotti,Medium benthopelagics,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0024-0.0083,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024
Sarpa salpa,Medium benthopelagics,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0024-0.0083,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024
Merluccius senegalensis,Medium benthopelagics,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0024-0.0083,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024
Lepidopus caudatus,Medium benthopelagics,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0024-0.0083,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024
Trachyscorpia cristulata echinata,Medium benthopelagics,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0024-0.0083,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024
Raja undulata,Medium benthopelagics,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0024-0.0083,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.00067-0.0014,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0024-0.0083,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024,0.0014-0.0024
Cetorhinus maximus,Medium demersals,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7
Capros aper,Medium demersals,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7
Echinorhinus brucus,Medium demersals,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7
Auxis rochei,Medium demersals,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7
Aristaeomorpha foliacea,Medium demersals,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7
Lichia amia,Medium demersals,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7
Centrophorus lusitanicus,Medium demersals,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7
Trisopterus luscus,Medium demersals,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7
Mullus barbatus barbatus,Medium demersals,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7
Sardinella aurita,Medium demersals,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7
Plesiopenaeus edwardsianus,Medium demersals,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7
Diplodus puntazzo,Medium demersals,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7
Chamelea gallina,Medium demersals,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7
Epinephelus aeneus,Medium demersals,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.1-0.33,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7,0.33-2.7
